,name,latitude,longitude,address,category,rating,category_count
15,Belfiore,45.46732,9.15791,"Via Belfiore 9, 20145 Milan, Italy",Shoe Stores,3.8,1
16,Verde Pisello,45.44726,9.15435,"Via Lodovico Il Moro, 9, 20143 Milan, Italy",Sports Wear,4.0,1
17,Easy Shoes & Wear,45.45337,9.14657,"Via Lorenteggio, 30, 20146 Milan, Italy",Shoe Stores,0.0,1
18,Futura Italia,45.4519499,9.1508,"Via Leone Tolstoi, 24, 20146 Milan, Italy",Fashion,0.0,1
19,Leoni Sport,45.45666,9.15442,"Via Giorgio Washington 94, 20146 Milan, Italy","Shoe Stores, Sports Wear, Fitness & Instruction",3.3,3
20,Frida,45.48865,9.18729,"Via Pollaiuolo 3, 20159 Milan, Italy","Pubs, Italian, Fashion",3.7,3
21,Desigual Outlet,45.4853925,9.2036401,"Piazza Duca d'Aosta 1, 20124 Milan, Italy","Women's Clothing, Men's Clothing, Outlet Stores",4.0,3
22,Liu Jo,45.4858035555458,9.20324088146911,"Piazza Duca D'Aosta 1, 20125 Milan, Italy","Women's Clothing, Accessories",4.0,2
23,Triumph,45.48439,9.20278,"Piazza Duca D'aosta, 20124 Milan, Italy",Lingerie,4.0,1
24,Zara,45.4853925,9.2036401,"Piazza Duca D'Aosta 1, 20124 Milan, Italy","Women's Clothing, Men's Clothing, Accessories",2.3,3
25,Geox,45.4850047646054,9.2027976762254,"Piazza Duca Di Aosta, Milan, Italy",Shoe Stores,3.0,1
26,Aroma Napoletano by Bar Mexico Napoli,45.49006111972474,9.189695527171724,"Via Traù 2, 20159 Milan, Italy","Coffee & Tea, Bakeries",4.5,2
27,Verger,45.47903,9.1844,"Via Varese 1, 20121 Milan, Italy","Fashion, Cafes",4.3,2
28,Guess,45.4853925,9.2036401,"Piazza Duca D'Aosta, 20124 Milan, Italy","Accessories, Men's Clothing, Women's Clothing",0.0,3
29,Motivi,45.4853925,9.2036401,"Piazza Duca D'aosta 1, 20124 Milan, Italy","Leather Goods, Accessories, Women's Clothing",0.0,3
30,Nike Store,45.4853925,9.2036401,"Piazza Duca d'Aosta, 20124 Milan, Italy","Sports Wear, Accessories",0.0,2
31,Camomilla,45.4853925,9.2036401,"Piazza Duca d'Aosta, 20124 Milan, Italy","Women's Clothing, Accessories, Shoe Stores",0.0,3
32,Calzedonia,45.4853925,9.2036401,"Piazza Duca D'aosta 1, 20124 Milan, Italy","Lingerie, Swimwear",0.0,2
33,Deus Ex Machina,45.4908970401687,9.18902512639761,"Via Thaon de Revel 3, 20159 Milan, Italy",Sports Wear,4.0,1
34,Pepe Jeans,45.48454,9.20288,"Piazza Duca D'Aosta, Milan, Italy","Men's Clothing, Women's Clothing, Children's Clothing",0.0,3
35,Carpe Diem,45.4768673,9.206343,"Viale Tunisia 1, 20124 Milan, Italy","Accessories, Home Decor, Gift Shops",4.3,3
36,La Montagna Sport,45.48257,9.20526,"Via Mauro Macchi, 13, 20124 Milan, Italy","Sporting Goods, Fashion",4.0,2
37,Pause,45.4804993,9.2122002,"Via Federico Ozanam 7, 20129 Milan, Italy","Bars, Women's Clothing",4.3,2
38,Mutinelli Cappelli,45.47601,9.2062899,"Corso Buenos Aires, 5, 20124 Milan, Italy",Accessories,4.5,1
39,Dolly Bar,45.47561,9.20337,"Viale Vittorio Veneto 6, 20124 Milan, Italy","Bars, Cafes, Coffee & Tea",3.6,3
40,Chà Tea Atelier,45.4562303,9.1768833,"Via Marco d'Oggiono 7, 20123 Milan, Italy","Coffee & Tea, Tea Rooms",4.3,2
41,Armeria Excalibur,45.45768,9.1691,"Via Modestino 3, 20144 Milan, Italy",Fashion,5.0,1
42,Mood,45.4572323616829,9.16837381584995,"Via Andrea Solari 13, 20144 Milan, Italy",Coffee & Tea,3.0,1
43,Colazione Da Miny,45.4568041380925,9.17005989700556,"Viale Coni Zugna 55, 20123 Milan, Italy","Accessories, Leather Goods, Outlet Stores",4.0,3
44,Il Tirolo a Milano,45.4554716330099,9.17172112513117,"Viale Coni Zugna 62, 20144 Milan, Italy","Fashion, Specialty Food",3.4,2
45,COIN,45.45594,9.17245,"Piazza Cantore 12, 20123 Milan, Italy","Men's Clothing, Women's Clothing, Lingerie",3.8,3
46,Decathlon,45.4687166181462,9.18228695131222,"Foro Buonaparte 74, 20121 Milan, Italy",Sports Wear,3.8,1
47,Melina Mannino,45.45499,9.16934,"Via Tortona 4, 20144 Milan, Italy","Sewing & Alterations, Women's Clothing",4.0,2
48,Pavesi,45.45743,9.1695499,"Viale Coni Zugna 43, 20144 Milan, Italy","Leather Goods, Accessories",4.0,2
49,Ravels,45.456187604282,9.16547952049728,"Via Andrea Solari 4, 20144 Milan, Italy",Fashion,5.0,1
50,Supermercato della Scarpa,45.45647,9.16564,"Via Solari 2A, 20144 Milan, Italy",Shoe Stores,3.0,1
51,Mauro Leone,45.4547551,9.180644,"Corso di Porta Ticinese 103, 20123 Milan, Italy",Shoe Stores,4.4,1
52,Drogheria Soana,45.46557,9.18025,"Corso Magenta 1, 20123 Milan, Italy","Specialty Food, Coffee & Tea, Beer, Wine & Spirits",4.1,4
53,Mèmem,45.4559564,9.1695086,"Via Savona 1, 20144 Milan, Italy",Department Stores,4.0,1
54,Turci Calzature,45.45358,9.1704899,"Piazzale Stazione Porta Genova 3, 20144 Milan, Italy",Shoe Stores,4.3,1
55,O Bag,45.453653835919,9.16860479861498,"Via Tortona 12, 20144 Milan, Italy","Accessories, Luggage",5.0,2
56,Serendeepity,45.45351,9.18023,"Corso di Porta Ticinese 100, 20123 Milan, Italy","Vinyl Records, Used, Vintage & Consignment",3.8,3
57,Berlin Caffè,45.45884,9.17981,"Via Gian Giacomo Mora 9, 20123 Milan, Italy","Cocktail Bars, Sandwiches, Cafes, Coffee & Tea",4.3,4
58,Flow,45.4555588,9.1665697,"Via Montevideo 6, 20144 Milan, Italy","Women's Clothing, Used, Vintage & Consignment, Accessories",0.0,4
59,Ferrari e Balestra Pellicceria,45.4574799,9.16381,"Via Valparaiso, 10, 20144 Milan, Italy",Women's Clothing,4.0,1
60,Frida,45.48865,9.18729,"Via Pollaiuolo 3, 20159 Milan, Italy","Pubs, Italian, Fashion",3.7,3
61,Verger,45.47903,9.1844,"Via Varese 1, 20121 Milan, Italy","Fashion, Cafes",4.3,2
62,Caffè Hodeidah,45.48236,9.16705,"Via Piero della Francesca 8, 20154 Milan, Italy","Coffee & Tea, Cafes, Coffee Roasteries",4.8,3
63,L'Artigiano di Brera,45.4730109,9.1871621,"Via Solferino 1, 20121 Milan, Italy",Shoe Stores,5.0,1
64,Montezemolo,45.47524,9.18368,"Corso Garibaldi 50, 20121 Milan, Italy",Men's Clothing,4.7,1
65,Space23,45.4787572366502,9.18559339906762,"Corso Garibaldi 104, 20121 Milan, Italy","Fashion, Sporting Goods",4.0,2
66,Decathlon,45.4687166181462,9.18228695131222,"Foro Buonaparte 74, 20121 Milan, Italy",Sports Wear,3.8,1
67,Buttero,45.47893,9.18549,"C. Garibaldi Giuseppe, 113, 20121 Milan, Italy",Women's Clothing,4.0,1
68,Starbucks,45.4804451706038,9.18676122360325,"Corso Garibaldi 118, 20121 Milan, Italy","Coffee & Tea, Cafes",3.7,2
69,Versace,45.46834,9.19498,"Via Monte Napoleone 11, 20121 Milan, Italy","Men's Clothing, Women's Clothing, Children's Clothing",4.9,3
70,Officina Slowear,45.47484,9.18711,"Via Solferino 18, 20121 Milan, Italy",Men's Clothing,4.0,1
71,OVS,45.4767342954389,9.18441239976629,"Corso Garibaldi 72, 20121 Milan, Italy","Women's Clothing, Men's Clothing, Accessories",3.0,3
72,Sermoneta Gloves,45.4714,9.19548,"Via Della Spiga, 46, 20121 Milan, Italy",Leather Goods,4.8,1
73,Brandy Melville,45.4769999,9.18539,"Via Statuto, 16, 20121 Milan, Italy",Fashion,3.6,1
74,Place Minuit,45.4798443189713,9.18624708954541,"Corso Garibaldi 127, 20121 Milan, Italy","Women's Clothing, Accessories, Shoe Stores",4.0,3
75,Aroma Napoletano by Bar Mexico Napoli,45.49006111972474,9.189695527171724,"Via Traù 2, 20159 Milan, Italy","Coffee & Tea, Bakeries",4.5,2
76,di Pippo Alfredo Confezioni di di Pippo Maurizio,45.47743,9.18497,"Via Statuto, 18, 20121 Milan, Italy",Men's Clothing,0.0,1
77,Figus Designer,45.47507,9.18362,"Corso Garibaldi 46, 20121 Milan, Italy","Jewelry, Leather Goods, Accessories",5.0,3
78,Blue Deep,45.473854,9.1872062,"Via Solferino 5, 20121 Milan, Italy",Women's Clothing,4.7,1
79,Bruno Bordese,45.48221,9.18402,"Via Maroncelli, 2, 20154 Milan, Italy",Shoe Stores,4.3,1
80,Maglieria Tina,45.45092,9.21841,"Via Tito Livio 24, 20137 Milan, Italy","Men's Clothing, Women's Clothing, Lingerie",4.0,3
81,Vertigini,45.4484482,9.2106895,"Viale Umbria 7, 20135 Milan, Italy","Shoe Stores, Accessories, Luggage",5.0,3
82,Bazaar della Lana,45.4486599,9.20743,"Corso Lodi 24, 20135 Milan, Italy",Women's Clothing,4.0,1
83,TUG Vintage Concept Store,45.451941589536,9.20427594418027,"Via Lodovico Muratori 6, 20135 Milan, Italy","Women's Clothing, Used, Vintage & Consignment, Accessories",5.0,4
84,Valigeria Ciotti,45.45161,9.20361,"Corso Lodi 3, 20135 Milan, Italy","Leather Goods, Luggage, Accessories",3.6,3
85,Camiceria Olga,45.4553986,9.2119598,"Via Comelico 3, 20135 Milan, Italy","Sewing & Alterations, Men's Clothing, Women's Clothing",4.0,3
86,Sweetblackberry,45.44898,9.20285,"Via Crema 17, 20135 Milan, Italy",Women's Clothing,5.0,1
87,Ginger Gioielli,45.4566,9.19959,"Via Alfonso Lamarmora 22, 20122 Milan, Italy","Jewelry, Accessories, Jewelry Repair",5.0,3
88,Mas que nada,45.4503,9.20491,"Corso Lodi 12, 20135 Milan, Italy",Women's Clothing,4.7,1
89,I Santi,45.45134,9.20468,"Via Bernardino Corio, 2, 20135 Milan, Italy",Leather Goods,4.0,1
90,Sakurasan,45.45577,9.20599,"viale Lazio, 6, 20135 Milan, Italy","Arts & Crafts, Accessories, Women's Clothing",5.0,3
91,Grazia Leon,45.4621965499295,9.20539518280335,"Corso di Porta Vittoria 50, 20122 Milan, Italy",Women's Clothing,4.0,1
92,Bar Lodi,45.4467832762324,9.21142764226131,"Corso Lodi 45, 20137 Milan, Italy","Cafes, Coffee & Tea",0.0,2
93,Gamestop,45.4622421264648,9.20904541015625,"Corso XXII Marzo 11, 20129 Milan, Italy","Video Game Stores, Fashion",4.0,2
94,Studio Zeta,45.4515763525677,9.21144349112097,"Via Friuli 26, 20135 Milan, Italy","Men's Clothing, Women's Clothing",0.0,2
95,La Reception,45.4363,9.23499,"Via Toffetti, 9, 20139 Milan, Italy",Fashion,4.0,1
96,Boglioli,45.4595,9.20771,"Via Spartaco, 4, 20135 Milan, Italy",Fashion,4.0,1
97,Robiati Roberta,45.45165,9.2182099,"Via Marcellino Ammiano, 9, 20137 Milan, Italy",Fashion,0.0,1
98,Colombo di Colombo Massimo Fabio,45.45036,9.2212,"Via Carabelli Rodolfo, 1, 20137 Milan, Italy",Shoe Stores,0.0,1
99,L'altra Coco',45.45338,9.20306,"Viale Monte Nero, 7, 20135 Milan, Italy",Women's Clothing,5.0,1
100,Mercato Navigli Vintage & Antique,45.4654542,9.186516,"Via Valenza 16 Naviglio Grande, 20100 Milan, Italy","Thrift Stores, Used, Vintage & Consignment, Flea Markets",4.7,4
101,Uniqlo,45.465234,9.18582,"Via Cordusio 2, 20123 Milan, Italy",Department Stores,4.0,1
102,Prada,45.46611,9.18999,"Galleria Vittorio Emanuele II 63, 20121 Milan, Italy","Leather Goods, Men's Clothing, Shoe Stores",4.1,3
103,Carlo Pazolini,45.46499,9.18585,"Piazza Cordusio, 20123 Milan, Italy",Shoe Stores,3.5,1
104,Motoplex,45.4673119,9.1856699,"Via Broletto 13, 20121 Milan, Italy","Motorcycle Gear, Sports Wear",4.5,2
105,Decathlon,45.4687166181462,9.18228695131222,"Foro Buonaparte 74, 20121 Milan, Italy",Sports Wear,3.8,1
106,Maxi Sport,45.4654542,9.186516,"Milan, Italy",Fashion,5.0,1
107,Canetta - Mani di Fata,45.46619,9.18509,"Via Dante, 4, 20121 Milan, Italy","Fabric Stores, Fashion",4.5,2
108,Chà Tea Atelier,45.4562303,9.1768833,"Via Marco d'Oggiono 7, 20123 Milan, Italy","Coffee & Tea, Tea Rooms",4.3,2
109,Womo,45.4661903,9.1850901,"Via Dante 4, 20121 Milan, Italy","Accessories, Men's Clothing",4.5,2
110,Yamamay,45.4676,9.1832499,"Via Dante, 16, 20123 Milan, Italy",Lingerie,3.9,1
111,Camper,45.46318,9.18777,"15 Via Torino, 20123 MILANO, Italy",Shoe Stores,4.2,1
112,Silvian Heach,45.46621,9.18473,"Via Dante 7, 20123 Milan, Italy","Women's Clothing, Fur Clothing",5.0,2
113,Triumph,45.4656804157395,9.18606508115869,"Via San Prospero 1, 20123 Milan, Italy",Lingerie,3.0,1
114,Treesse,45.46303,9.18726,"Via Torino 18, 20123 Milan, Italy",Fashion,4.3,1
115,Versace,45.46834,9.19498,"Via Monte Napoleone 11, 20121 Milan, Italy","Men's Clothing, Women's Clothing, Children's Clothing",4.9,3
116,Angelo Nardelli,45.46515,9.18671,"Piazza Cordusio, 2, 20123 Milan, Italy",Men's Clothing,4.0,1
117,Shuttle Bus,,,"Milan, Italy",Buses,3.0,1
118,Cafè de Ville,45.4676,9.1832499,"Via Dante 16, 20121 Milan, Italy",Coffee & Tea,3.5,1
119,Petit Bateau,45.46726,9.1837,"Via Dante 12, 20123 Milan, Italy",Children's Clothing,4.5,1
120,Chà Tea Atelier,45.4562303,9.1768833,"Via Marco d'Oggiono 7, 20123 Milan, Italy","Coffee & Tea, Tea Rooms",4.3,2
121,Mugnai Calzature,45.45768,9.18747,"Corso Italia 18, 20122 Milan, Italy",Shoe Stores,5.0,1
122,Eatme & Go,45.460991694525,9.18441008482088,"Via Torino 50, 20123 Milan, Italy","Coffee & Tea, Bakeries, Ice Cream & Frozen Yogurt",3.4,3
123,Decathlon,45.4687166181462,9.18228695131222,"Foro Buonaparte 74, 20121 Milan, Italy",Sports Wear,3.8,1
124,Sanitaria Ortopedia Riva di Riva Renata,45.66408,9.15252,"CSO Italia, 11, 20036 Meda, Italy","Orthopedists, Lingerie",0.0,2
125,Versace,45.46834,9.19498,"Via Monte Napoleone 11, 20121 Milan, Italy","Men's Clothing, Women's Clothing, Children's Clothing",4.9,3
126,Tezenis,45.46191,9.18543,"Via Valpetrosa 10, 20123 Milan, Italy",Lingerie,3.8,1
127,Wait and See,45.4618827,9.1830362,"Via Santa Marta 14, 20123 Milan, Italy",Women's Clothing,5.0,1
128,Viganò Alta Moda,45.46042,9.1891,"Via Paolo da Cannobio, 39, 20122 Milan, Italy","Fashion, Jewelry",4.0,2
129,Mauro Leone,45.4547551,9.180644,"Corso di Porta Ticinese 103, 20123 Milan, Italy",Shoe Stores,4.4,1
130,Prada,45.46611,9.18999,"Galleria Vittorio Emanuele II 63, 20121 Milan, Italy","Leather Goods, Men's Clothing, Shoe Stores",4.1,3
131,Gucci,45.4679615419,9.19542387128,"Via Monte Napoleone 5/7, 20121 Milan, Italy","Children's Clothing, Men's Clothing, Women's Clothing",5.0,3
132,Scout,45.45939,9.18103,"Corso di Porta Ticinese 12, 20123 Milan, Italy","Men's Clothing, Women's Clothing, Children's Clothing",3.9,3
133,Tutto per lo Sport 2,45.4608,9.18441,"Via Torino, 51, 20123 Milan, Italy",Sports Wear,4.0,1
134,Sermoneta Gloves,45.4714,9.19548,"Via Della Spiga, 46, 20121 Milan, Italy",Leather Goods,4.8,1
135,Par5,45.4588528910805,9.18125733045012,"Corso di Porta Ticinese 16, 20123 Milan, Italy","Shoe Stores, Accessories, Watches",4.3,3
136,Incendio,45.45989,9.18933,"C. di Porta Romana, 6, 20122 Milan, Italy",Fashion,4.0,1
137,Berlin Caffè,45.45884,9.17981,"Via Gian Giacomo Mora 9, 20123 Milan, Italy","Cocktail Bars, Sandwiches, Cafes, Coffee & Tea",4.3,4
138,Serendeepity,45.45351,9.18023,"Corso di Porta Ticinese 100, 20123 Milan, Italy","Vinyl Records, Used, Vintage & Consignment",3.8,3
139,Trend,45.4613,9.185,"Via Torino 46, 20123 Milan, Italy","Men's Clothing, Women's Clothing, Children's Clothing",5.0,3
140,Penelope Mercatino dell'Usato,45.466671,9.2094498,"Via Macedonio Melloni 6, 20129 Milan, Italy","Antiques, Thrift Stores, Used, Vintage & Consignment",4.0,4
141,Versace,45.46834,9.19498,"Via Monte Napoleone 11, 20121 Milan, Italy","Men's Clothing, Women's Clothing, Children's Clothing",4.9,3
142,Surimono,45.4669794,9.2009293,"Corso Monforte 25, 20122 Milan, Italy","Accessories, Home Decor",4.7,2
143,Sermoneta Gloves,45.4714,9.19548,"Via Della Spiga, 46, 20121 Milan, Italy",Leather Goods,4.8,1
144,Gucci,45.4679615419,9.19542387128,"Via Monte Napoleone 5/7, 20121 Milan, Italy","Children's Clothing, Men's Clothing, Women's Clothing",5.0,3
145,Shabby Chic,45.46502,9.20866,"Via Benvenuto Cellini 21, 20129 Milan, Italy","Used, Vintage & Consignment",4.5,2
146,Matia's Fashion Outlet,45.4701040281355,9.20077535483338,"Corso Venezia 37, 20121 Milan, Italy","Outlet Stores, Fashion",4.3,2
147,Prada,45.46611,9.18999,"Galleria Vittorio Emanuele II 63, 20121 Milan, Italy","Leather Goods, Men's Clothing, Shoe Stores",4.1,3
148,Altalen,45.4650859,9.2086627,"Via Benvenuto Cellini 21, 20129 Milan, Italy",Hats,5.0,1
149,Tandem,45.4691164,9.208182,"Via Carlo Goldoni 4, 20129 Milan, Italy","Children's Clothing, Used, Vintage & Consignment",0.0,3
150,Carpe Diem,45.4768673,9.206343,"Viale Tunisia 1, 20124 Milan, Italy","Accessories, Home Decor, Gift Shops",4.3,3
151,Sara'... abbigliamento premaman,45.4694548,9.2067626,"Viale Piave 7, 20129 Milan, Italy","Women's Clothing, Maternity Wear, Lingerie",0.0,3
152,Salvagente,45.46584,9.21452,"Via Fratelli Bronzetti 16, 20129 Milan, Italy","Outlet Stores, Men's Clothing, Women's Clothing",3.5,3
153,Mezzanotte Store,45.4649048,9.2069914,"Viale Premuda, 13, 20129 Milan, Italy",Children's Clothing,4.0,1
154,Matricola Pub,45.4755823,9.2233832,"Viale Romagna 43, 20133 Milan, Italy","Pubs, Cafes, Cocktail Bars, Coffee & Tea",3.5,4
155,Bettinadue,45.4707995115602,9.20816168189049,"Via Felice Bellotti 11, 20129 Milan, Italy","Women's Clothing, Shoe Stores, Accessories",4.0,3
156,Dolly Bar,45.47561,9.20337,"Viale Vittorio Veneto 6, 20124 Milan, Italy","Bars, Cafes, Coffee & Tea",3.6,3
157,Mutinelli Cappelli,45.47601,9.2062899,"Corso Buenos Aires, 5, 20124 Milan, Italy",Accessories,4.5,1
158,Dmail,45.46624,9.19307,"Via San Paolo 15, 20121 Milan, Italy","Accessories, Home Decor",3.9,2
159,Moda Maria,45.46769,9.20903,"corso concordia 10, 20129 Milan, Italy",Accessories,4.0,1
160,S&M Calzature,45.50678,9.19979,"V.le Ca' Granda 2, 20162 Milan, Italy",Shoe Stores,0.0,1
161,Sammataro Massimo,45.50678,9.19979,"Via CA' Granda, 2, 20162 Milan, Italy",Shoe Stores,0.0,1
162,Antiregola di Caradonna E.,45.50678,9.19979,"Viale CA' Granda, 2, 20162 Milan, Italy",Fashion,0.0,1
163,Arcobaleno,45.5073001730033,9.20342456549406,"Via Elio Reguzzoni 4, 20125 Milan, Italy","Used, Vintage & Consignment",5.0,2
164,Boutique del Caffè,45.50827,9.20126,"Viale Fulvio Testi 81, 20162 Milan, Italy",Coffee & Tea,4.0,1
165,Mandelli Rappresentanze ,45.5062799,9.20148,"Via Romolo Bitti, 18, 20125 Milan, Italy",Shoe Stores,0.0,1
166,Nice Fashion,45.50656,9.1980799,"Viale Suzzani 16, 20162 Milan, Italy",Fashion,0.0,1
167,Bastard Store,45.50029,9.19844,"Via Scipio Slataper 19, 20125 Milan, Italy","Sports Wear, Shoe Stores, Men's Clothing",4.0,3
168,Grande Angela,45.50791,9.20281,"Via Pianell, 47, 20125 Milan, Italy",Fashion,0.0,1
169,Parrucchiere Sif,45.5010681,9.1879501,"Via Valassina 35, 20159 Milan, Italy","Hair Salons, Accessories, Cosmetics & Beauty Supply",5.0,3
170,Merceria Biancheria Abbigliamento di Ripamonti M.,45.50542,9.19744,"Viale Suzzani, 12, 20162 Milan, Italy",Fashion,0.0,1
171,Aumai,45.5001798298698,9.20964543162951,"Via Emilio de Marchi 10, 20125 Milan, Italy",Department Stores,3.3,1
172,Vollaro / Patrizia,45.50903,9.19953,"Via Pianell Salvatore, 63, 20125 Milan, Italy",Fashion,0.0,1
173,Biemme,45.5005499,9.21148,"Viale delle Rimembranze di Greco 45D, 20125 Milan, Italy",Accessories,0.0,1
174,ZD SPORT,45.496105,9.186305,"Fermata Via Farini, Via Menabrea 21, 20159 Milan, Italy",Sports Wear,0.0,1
175,Sport Mission,45.5179199,9.20755,"Viale Fulvio Testi, 216, 20126 Milan, Italy",Sports Wear,0.0,1
176,Props Outlet dell'Usato,45.5192663,9.1956674,"20162 Milan, Italy","Home & Garden, Used, Vintage & Consignment",0.0,3
177,Bimbo' Tutto Per Il Bimbo e la Mamma,45.5192663,9.1956674,"20162 Milan, Italy",Children's Clothing,0.0,1
178,DP FashionBrand,45.49384,9.2058,"Via Melchiorre Gioia 131, 20125 Milan, Italy",Women's Clothing,0.0,1
179,Shang Hai Mercato,45.4968987,9.19174,"Via Gioacchino Murat 3, 20159 Milan, Italy",Accessories,3.5,1
180,Valigeria Moderna,45.46213,9.2131399,"Corso XXII marzo 24, 20135 Milan, Italy",Accessories,3.0,1
181,Basile Calzature,45.46193,9.21334,"Via F. Anzani, 2, 20135 Milan, Italy",Shoe Stores,4.0,1
182,Salvagente,45.46584,9.21452,"Via Fratelli Bronzetti 16, 20129 Milan, Italy","Outlet Stores, Men's Clothing, Women's Clothing",3.5,3
183,Pizze Italia & Caffè,45.46223044,9.21278447,"Corso 22 Marzo 25, 20129 Milan, Italy","Pizza, Bakeries, Coffee & Tea",0.0,3
184,Versace,45.46834,9.19498,"Via Monte Napoleone 11, 20121 Milan, Italy","Men's Clothing, Women's Clothing, Children's Clothing",4.9,3
185,Gamestop,45.4622421264648,9.20904541015625,"Corso XXII Marzo 11, 20129 Milan, Italy","Video Game Stores, Fashion",4.0,2
186,Midali,45.4639336277439,9.2144493367706,"Via Fratelli Bronzetti 23, 20129 Milan, Italy",Women's Clothing,4.0,1
187,MAX & Co.,45.46213,9.2109,"Corso Xxii Marzo 20, 20135 Milan, Italy",Women's Clothing,4.0,1
188,Libero Milano,45.46209,9.209,"Corso XXII Marzo 8, 20129 Milan, Italy","Men's Clothing, Women's Clothing",3.7,2
189,La Casa Della Lana,45.46213,9.21421,"C. Ventidue Marzo, 28, 20135 Milan, Italy",Fashion,4.0,1
190,Sermoneta Gloves,45.4714,9.19548,"Via Della Spiga, 46, 20121 Milan, Italy",Leather Goods,4.8,1
191,Gucci,45.4679615419,9.19542387128,"Via Monte Napoleone 5/7, 20121 Milan, Italy","Children's Clothing, Men's Clothing, Women's Clothing",5.0,3
192,Ascot,45.46179,9.21128,"Piazza Santa Maria del Suffragio, 6, 20135 Milan, Italy",Men's Clothing,2.0,1
193,Shabby Chic,45.46502,9.20866,"Via Benvenuto Cellini 21, 20129 Milan, Italy","Used, Vintage & Consignment",4.5,2
194,Original Marines,45.4622383117676,9.21061897277832,"Corso XXII Marzo 18, 20135 Milan, Italy",Children's Clothing,2.5,1
195,Matricola Pub,45.4755823,9.2233832,"Viale Romagna 43, 20133 Milan, Italy","Pubs, Cafes, Cocktail Bars, Coffee & Tea",3.5,4
196,Altalen,45.4650859,9.2086627,"Via Benvenuto Cellini 21, 20129 Milan, Italy",Hats,5.0,1
197,Penelope Mercatino dell'Usato,45.466671,9.2094498,"Via Macedonio Melloni 6, 20129 Milan, Italy","Antiques, Thrift Stores, Used, Vintage & Consignment",4.0,4
198,Surplus,45.4623731218973,9.20993328094482,"Via Mancini 1, 20129 Milan, Italy",Fashion,3.3,1
199,Arte del Ricevere,45.46669,9.21357,"Via Macedonio Melloni 35, 20129 Milan, Italy","Coffee & Tea, Tea Rooms",4.0,2
200,Sakurasan,45.45577,9.20599,"viale Lazio, 6, 20135 Milan, Italy","Arts & Crafts, Accessories, Women's Clothing",5.0,3
201,Versace,45.46834,9.19498,"Via Monte Napoleone 11, 20121 Milan, Italy","Men's Clothing, Women's Clothing, Children's Clothing",4.9,3
202,Camiceria Olga,45.4553986,9.2119598,"Via Comelico 3, 20135 Milan, Italy","Sewing & Alterations, Men's Clothing, Women's Clothing",4.0,3
203,La Bottega Coquelicot,45.45587,9.20443,"Viale Montenero 25, 20135 Milan, Italy",Women's Clothing,3.5,1
204,Gucci,45.4679615419,9.19542387128,"Via Monte Napoleone 5/7, 20121 Milan, Italy","Children's Clothing, Men's Clothing, Women's Clothing",5.0,3
205,del Mare 1911,45.45648,9.20866,"Via Bergamo, 14, 20135 Milan, Italy",Men's Clothing,0.0,1
206,Prada,45.46611,9.18999,"Galleria Vittorio Emanuele II 63, 20121 Milan, Italy","Leather Goods, Men's Clothing, Shoe Stores",4.1,3
207,Miu Miu,45.45703,9.21036,"Via Fogazzaro Antonio 28, 20135 Milan, Italy","Accessories, Women's Clothing",0.0,2
208,TUG Vintage Concept Store,45.451941589536,9.20427594418027,"Via Lodovico Muratori 6, 20135 Milan, Italy","Women's Clothing, Used, Vintage & Consignment, Accessories",5.0,4
